,State,% penetretation,HDI 2017,% HDI growth,Crec. ATMs,Crec. Transacciones por Celular,Crec. Tarjetas de Credito,Crec. Surcursales,Cant. ATMs,Cant.Transacciones por Celular,Cant. Tarjetas de Credito,Cant. Surcursales,HighSchool %,College and higher %,AvgLvlSchooling,y
0,Aguascalientes,54,0.794,0.2525252525252528,8.193979933110374,66.6395085677336,-3.5884634399392823,3.90625,647,257708,276919,133,21.845141283369102,20.6700930323336,9.72597472304436,0
1,Baja California,75,0.8029999999999999,0.2496878901373286,9.808853118712268,51.5341020448161,-4.822146593948228,0.5291005291005346,2183,927813,770479,380,25.462602375836397,19.3841748818716,9.757417721393221,0
2,Baja California Sur,65,0.8109999999999999,0.2472187886279222,8.052434456928848,47.81246192790329,-3.4988551068395823,0.8695652173912993,577,218387,187963,116,27.3663280610984,21.0517141308283,9.905535230784391,0
3,Campeche,25,0.762,0.1314060446780699,3.2967032967033063,46.07205752861756,-4.0864396267569765,-4.000000000000004,376,199067,137635,96,20.2795182049188,20.309485149544198,9.138454460410689,0
4,Coahuila de Zaragoza,45,0.799,0.2509410288582185,5.063291139240512,53.476522080917206,-2.3282788228521145,-0.5763688760806907,1826,648182,575137,345,21.4437460169645,21.505499234551703,9.897388248825001,0
5,Colima,60,0.7829999999999999,0.2560819462227916,4.956268221574334,62.23877428940818,-7.928304029612176,-1.041666666666663,360,168154,175113,95,21.719290132598502,22.0296230334276,9.52872041908884,0
6,Chiapas,18,0.7,0.2865329512893985,7.411907654921013,43.585872278366224,-12.307623876879285,1.5810276679841806,884,614358,374585,257,16.3756945761405,11.7008219660594,7.28858120820635,0
7,Chihuahua,54,0.7929999999999999,0.2528445006321115,8.880516684607098,60.91518131774364,1.7921639213935858,0.7556675062972307,2023,810887,770812,400,21.431445788509,18.837425419027397,9.46659055864783,0
8,Ciudad de Mexico,97,0.83,0.241545893719807,7.016861219195848,79.5704762376922,0.9460981136233616,-0.16703786191536452,8251,5143333,5862909,1793,26.6231401592069,32.137139920177695,11.1195871123974,1
9,Durango,39,0.775,0.2587322121604142,5.8020477815699625,43.382340739757396,-7.0714531746335485,0.7575757575757569,620,345626,242813,133,20.202632378514302,16.6726464066611,9.14760965873131,0
10,Guanajuato,50,0.757,0.1322751322751471,7.5949367088607564,66.94931210089943,-4.52267934905074,0.5110732538330387,2125,735971,1042324,590,18.3701504378504,13.154602989524,8.38185068146182,0
11,Guerrero,31,0.7170000000000001,0.2797202797202955,7.197943444730082,51.46878385415108,-3.712427709796717,2.0325203252032464,834,506139,387933,251,19.6373552315066,12.8872039655457,7.8027074220338095,0
12,Hidalgo,30,0.7609999999999999,0.2635046113306839,11.068211068211076,53.47604604271077,-1.303677933567604,0.4651162790697772,863,446801,422137,216,20.2641602779874,14.9266999383778,8.715456677952929,0
13,Jalisco,67,0.7879999999999999,0.2544529262086517,6.167904054825812,64.5017506589559,2.63013100292806,-0.6685768863419317,3718,1672588,2180489,1040,20.812619066893802,18.9532754023219,9.24986079597544,1
14,Mexico.,52,0.782,0.2564102564102566,7.633111480865228,64.07485133821646,5.750366294767638,0.9461426491994108,5175,2047600,3494027,1387,24.986932744132105,17.8547399151122,9.528067379259369,0
15,Michoacan de Ocampo,41,0.745,0.2691790040376853,8.732157850545754,34.34670841797893,-1.3179196078740518,0.9569377990430672,1295,622963,813765,422,16.9690664570817,13.3114797213987,7.926166956046929,0
16,Morelos,61,0.775,0.2587322121604142,9.116809116809122,61.383711047528365,4.1530054644808745,0.4405286343612369,766,362676,441239,228,22.7932055667627,18.145494548490802,9.303000614025539,0
17,Nayarit,44,0.785,0.25542784163475263,3.200000000000003,53.28116552766187,0.05735007367277945,-0.8196721311475419,516,221151,226808,121,22.1849179364927,18.6605511323331,9.15892146940172,0
18,Nuevo Leon,80,0.8079999999999999,0.2481389578163774,5.548549810844894,79.23703190996865,7.2694171259063625,-0.3432494279176246,4185,1188605,1637399,871,22.838404695837102,24.1727110461728,10.2749558573754,1
19,Oaxaca,24,0.71,0.28248587570621503,5.6910569105691025,61.25529075621997,8.864863427218816,0.7462686567164091,910,393937,409321,270,16.0951823148202,11.5855144217851,7.515763019568159,0
20,Puebla,43,0.742,0.2702702702702705,9.259259259259256,53.94457924028282,1.4531506118446558,-0.5836575875486361,1711,1004376,973584,511,18.9933237764987,16.4777249677244,8.49385434412069,0
21,Queretaro,78,0.79,0.25380710659899913,5.783582089552231,64.55143764002986,9.781032064227935,0.8474576271186418,1134,423042,551743,238,20.8761304453936,21.1537664064566,9.55326026787634,0
22,Quintana Roo,59,0.7809999999999999,0.2567394094993441,5.630936227951144,70.35546251133078,5.492986848496062,7.729468599033806,1557,473595,393127,223,25.785257233428897,18.6154853717061,9.615036243576009,0
23,San Luis Potosi,40,0.757,0.2649006622516559,8.28667413213886,39.9101264091593,5.568987505566425,-0.4424778761061954,967,358051,452797,225,19.7070493031542,16.6668812259747,8.81999521036877,0
24,Sinaloa,53,0.804,0.12453300124534394,8.305921052631572,39.33500675955733,7.629245801329354,1.7045454545454586,1317,719395,799272,358,23.9183520678675,23.0351558916395,9.58132525939067,0
25,Sonora,61,0.8059999999999999,0.24875621890545904,7.204610951008638,36.664398776979,11.001859876457944,-0.2941176470588225,1488,833605,691122,339,24.761250601975497,21.9362526669265,10.0014293654817,0
26,Tabasco,24,0.773,0.38961038961039,7.617728531855961,45.163527991162034,11.511485442697088,-0.462962962962965,777,508518,376804,215,23.4957831149502,18.769078121808104,9.31176893327734,0
